,id,Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Fireplace,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
10672,20312280,1180,APARTMENT,APARTMENT,310000.0,2,98.0,1,0,0,1,12.0,-1,0.0,-1.0,-1.0,3,0,TO_RENOVATE
10673,20320727,4400,HOUSE,HOUSE,289000.0,2,70.0,1,-1,0,-1,0.0,1,100.0,100.0,340.0,4,-1,JUST_RENOVATED
10674,20308815,6800,HOUSE,EXCEPTIONAL_PROPERTY,495000.0,5,189.0,1,-1,0,-1,0.0,-1,0.0,-1.0,10680.0,4,-1,TO_BE_DONE_UP
10675,20316549,8540,HOUSE,VILLA,799500.0,3,400.0,1,-1,0,1,0.0,-1,0.0,-1.0,2182.0,4,-1,GOOD
10676,20299489,1140,APARTMENT,FLAT_STUDIO,250000.0,0,41.0,1,-1,0,1,2.0,-1,0.0,-1.0,-1.0,2,-1,UNDEFINED
10677,20299495,1140,APARTMENT,APARTMENT,337000.0,1,69.0,1,-1,0,1,2.0,-1,0.0,-1.0,-1.0,2,-1,UNDEFINED
10678,20299487,1140,APARTMENT,APARTMENT,369000.0,2,88.0,1,-1,0,1,2.0,-1,0.0,-1.0,-1.0,2,-1,UNDEFINED
10679,20299481,1140,APARTMENT,APARTMENT,437000.0,3,105.0,1,-1,0,1,15.0,-1,0.0,-1.0,-1.0,2,-1,UNDEFINED
10680,20299513,1200,APARTMENT,FLAT_STUDIO,340000.0,0,52.0,1,-1,0,1,5.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10681,20299503,1200,APARTMENT,APARTMENT,500000.0,2,94.0,1,-1,0,1,6.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10682,20299509,1200,APARTMENT,APARTMENT,655000.0,2,116.0,1,-1,0,1,15.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10683,20299519,1200,APARTMENT,APARTMENT,715000.0,2,127.0,1,-1,0,1,30.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10684,20299523,1200,APARTMENT,APARTMENT,770000.0,2,122.0,1,-1,0,1,15.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10685,20299529,1200,APARTMENT,PENTHOUSE,810000.0,3,140.0,1,-1,0,1,38.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10686,20299522,1200,APARTMENT,PENTHOUSE,1035000.0,2,124.0,1,-1,0,1,70.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10687,20298238,3300,APARTMENT,APARTMENT,189000.0,2,81.0,-1,-1,0,1,22.0,-1,0.0,-1.0,-1.0,4,-1,TO_RENOVATE
10688,20313554,9000,APARTMENT,APARTMENT,380000.0,2,99.0,1,0,0,1,10.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10689,20311596,9300,HOUSE,HOUSE,1195000.0,3,385.0,1,-1,0,-1,0.0,-1,0.0,-1.0,1119.0,4,-1,AS_NEW
10690,20317864,9500,HOUSE,HOUSE,720000.0,3,286.0,1,-1,0,-1,0.0,-1,0.0,-1.0,26990.0,4,-1,GOOD
10691,20305712,9890,HOUSE,HOUSE,575000.0,2,375.0,1,0,0,1,75.0,1,480.0,480.0,1227.0,4,0,GOOD
10692,20320259,9880,APARTMENT,APARTMENT,319200.0,1,99.0,1,0,0,1,27.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10693,20305476,3500,APARTMENT,APARTMENT,295000.0,2,100.0,1,0,0,1,3.0,-1,0.0,-1.0,-1.0,-1,-1,JUST_RENOVATED
10694,20299327,1082,APARTMENT,APARTMENT,180000.0,1,53.0,1,-1,0,1,8.0,1,8.0,8.0,-1.0,-1,-1,AS_NEW
10695,20299356,1082,APARTMENT,APARTMENT,208000.0,1,61.0,1,-1,0,1,7.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10696,20299348,1082,APARTMENT,APARTMENT,360000.0,1,121.0,1,-1,0,1,22.0,1,22.0,22.0,-1.0,-1,-1,AS_NEW
10697,20299350,1082,APARTMENT,APARTMENT,367000.0,2,119.0,1,-1,0,1,20.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10698,20299347,1082,APARTMENT,PENTHOUSE,372000.0,2,125.0,1,-1,0,1,8.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10699,20299362,1082,APARTMENT,PENTHOUSE,382000.0,3,133.0,1,-1,0,1,16.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10700,20298525,1420,APARTMENT,APARTMENT,299000.0,1,69.0,1,0,0,1,21.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10701,20298497,1420,APARTMENT,APARTMENT,395000.0,2,95.0,1,0,0,1,20.0,1,261.0,261.0,-1.0,3,0,AS_NEW
10702,20298506,1420,APARTMENT,APARTMENT,415000.0,2,107.0,1,0,0,1,12.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10703,20298527,1420,APARTMENT,APARTMENT,450000.0,3,115.0,1,0,0,1,20.0,-1,0.0,-1.0,-1.0,3,0,AS_NEW
10704,20298529,1420,APARTMENT,APARTMENT,480000.0,3,128.0,1,0,0,1,21.0,1,120.0,120.0,-1.0,2,0,AS_NEW
10705,20298520,1420,APARTMENT,APARTMENT,495000.0,3,127.0,1,0,0,1,22.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10706,20298515,1420,APARTMENT,APARTMENT,750000.0,3,162.0,1,0,0,1,44.0,-1,0.0,-1.0,-1.0,3,0,AS_NEW
10707,20299389,1050,APARTMENT,APARTMENT,499000.0,2,91.0,1,-1,0,1,6.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10708,20299383,1050,APARTMENT,APARTMENT,560000.0,2,91.0,1,-1,0,1,6.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10709,20299377,1050,APARTMENT,APARTMENT,650000.0,2,107.0,1,-1,0,1,11.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10710,20319899,9000,HOUSE,HOUSE,415000.0,5,181.0,1,0,0,1,33.0,-1,0.0,-1.0,125.0,2,0,TO_BE_DONE_UP
10711,20320732,1190,APARTMENT,APARTMENT,330000.0,2,100.0,1,0,0,1,0.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10712,20314859,9000,APARTMENT,APARTMENT,232000.0,1,71.0,1,-1,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,JUST_RENOVATED
10713,20314964,8800,APARTMENT,APARTMENT,325000.0,3,94.0,-1,-1,0,1,5.0,1,29.0,29.0,-1.0,-1,-1,GOOD
10714,20318210,9500,HOUSE,MIXED_USE_BUILDING,185000.0,2,85.0,1,-1,0,-1,0.0,-1,0.0,-1.0,161.0,2,-1,GOOD
10715,20298088,2600,APARTMENT,APARTMENT,205000.0,2,92.0,1,-1,0,1,16.0,-1,0.0,-1.0,-1.0,-1,-1,TO_BE_DONE_UP
10716,20308083,9830,HOUSE,HOUSE,815000.0,3,171.0,1,0,0,1,26.0,1,1010.0,1010.0,1163.0,4,0,TO_BE_DONE_UP
10717,20296316,3640,APARTMENT,GROUND_FLOOR,263000.0,2,106.0,1,-1,0,1,24.0,1,42.0,42.0,-1.0,-1,-1,UNDEFINED
10718,20296319,3640,APARTMENT,GROUND_FLOOR,298000.0,2,124.0,1,-1,0,1,14.0,1,16.0,16.0,-1.0,-1,-1,UNDEFINED
10719,20293657,9890,APARTMENT,DUPLEX,443875.0,3,146.0,1,0,0,1,11.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10720,20296293,1000,APARTMENT,APARTMENT,444000.0,2,104.0,1,0,0,1,8.0,-1,0.0,-1.0,-1.0,4,0,AS_NEW
10721,20316843,9700,APARTMENT,APARTMENT,245000.0,2,80.0,1,-1,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10722,20311376,1440,HOUSE,VILLA,597500.0,5,159.0,-1,0,0,1,0.0,-1,0.0,-1.0,550.0,4,0,GOOD
10723,20318251,9500,HOUSE,HOUSE,150000.0,3,184.0,1,-1,0,-1,0.0,-1,0.0,-1.0,152.0,-1,-1,TO_RENOVATE
10724,20311142,6790,HOUSE,HOUSE,315000.0,2,166.0,1,0,0,1,0.0,-1,0.0,-1.0,660.0,4,0,GOOD
10725,20317416,9500,HOUSE,HOUSE,165000.0,2,85.0,1,-1,0,-1,0.0,-1,0.0,-1.0,30.0,2,-1,JUST_RENOVATED
10726,20309136,8470,HOUSE,HOUSE,299000.0,3,126.0,-1,-1,0,1,40.0,1,430.0,430.0,522.0,-1,-1,GOOD
10727,20315877,9550,APARTMENT,APARTMENT,259000.0,2,110.0,1,0,0,1,20.0,-1,0.0,-1.0,-1.0,2,0,GOOD
10728,20307483,2811,HOUSE,HOUSE,399000.0,3,240.0,1,-1,0,-1,0.0,1,400.0,400.0,848.0,-1,-1,TO_RENOVATE
10729,20317295,3540,HOUSE,HOUSE,366000.0,3,174.0,1,-1,0,-1,0.0,1,330.0,330.0,680.0,-1,-1,UNDEFINED
10730,20294422,9300,APARTMENT,APARTMENT,179000.0,1,69.0,1,-1,0,1,0.0,-1,0.0,-1.0,-1.0,2,-1,GOOD
10731,20311566,9450,HOUSE,HOUSE,499000.0,4,240.0,-1,-1,0,1,0.0,-1,0.0,-1.0,806.0,-1,-1,AS_NEW
10732,20302344,9000,APARTMENT,APARTMENT,895000.0,2,146.0,-1,-1,0,1,0.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10733,20312765,6700,HOUSE,HOUSE,580000.0,5,347.0,1,-1,0,-1,0.0,1,32.0,32.0,424.0,2,-1,GOOD
10734,20305894,1200,HOUSE,HOUSE,995000.0,5,298.0,1,0,0,1,7.0,1,45.0,45.0,117.0,2,0,AS_NEW
10735,20299081,2018,APARTMENT,APARTMENT,575000.0,3,200.0,1,-1,0,1,15.0,-1,0.0,-1.0,-1.0,2,-1,JUST_RENOVATED
10736,20313523,9000,APARTMENT,APARTMENT,260000.0,1,76.0,1,0,0,1,12.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10738,20314861,2820,HOUSE,HOUSE,729000.0,4,222.0,1,-1,0,1,0.0,-1,0.0,-1.0,1638.0,-1,-1,UNDEFINED
10739,20301023,6700,HOUSE,HOUSE,579000.0,4,223.0,1,-1,0,1,36.0,1,321.0,321.0,467.0,2,0,AS_NEW
10740,20307995,8610,HOUSE,VILLA,465000.0,4,269.0,1,0,0,1,0.0,-1,0.0,-1.0,566.0,-1,-1,GOOD
10741,20302357,9750,HOUSE,COUNTRY_COTTAGE,378000.0,3,200.0,1,-1,1,1,0.0,-1,0.0,-1.0,661.0,3,-1,JUST_RENOVATED
10742,20306032,4460,HOUSE,HOUSE,239000.0,4,137.0,1,0,0,1,20.0,1,112.0,112.0,312.0,2,0,AS_NEW
10743,20296457,9960,APARTMENT,APARTMENT,274000.0,2,120.0,1,-1,0,1,0.0,-1,0.0,-1.0,-1.0,2,-1,GOOD
10744,20317545,9500,HOUSE,VILLA,379000.0,3,177.0,1,0,0,1,0.0,-1,0.0,-1.0,406.0,3,0,AS_NEW
